-! 07/11/15 10:23:10.936 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
-! 07/11/15 10:23:10.938 ../bin/sickLaser: warning: invalid config file entry: "This property is used by the clients to connect to IceStorm."
	*** Attempting to initialize the Sick LD...
	Attempting to connect to Sick LD @ 192.168.187.204:49152
		Connected to Sick LD!
	Attempting to start buffer monitor...
		Buffer monitor started!
	Attempting to sync driver with Sick LD...
		Synchronized!
	*** Init. complete: Sick LD is online and ready!
	Num. Active Sectors: 1
	Motor Speed: 10 (Hz)
	Scan Resolution: 1 (deg)

	Attempting to set desired scan config...
		Using desired scan area(s)!
	=========== Sick Sector Config ===========
	Num. Active Sectors: 1
	Num. Initialized Sectors: 1
	Sector Configs.:
		0 [0,359] (MEASURING)
	==========================================
	Requesting RANGE ONLY data stream from Sick LD...
		Data stream started!
valor160 es 58.5938
valor161 es 50.7812
valor162 es 46.875
valor163 es 46.875
valor164 es 58.5938
valor165 es 54.6875
valor166 es 62.5
valor167 es 62.5
valor168 es 46.875
valor169 es 46.875
valor170 es 62.5
valor171 es 50.7812
valor172 es 42.9688
valor173 es 39.0625
valor174 es 35.1562
valor175 es 58.5938
valor176 es 46.875
valor177 es 78.125
valor178 es 46.875
valor179 es 46.875
valor180 es 27.3438
valor181 es 70.3125
valor182 es 42.9688
valor183 es 35.1562
valor184 es 50.7812
valor185 es 66.4062
valor186 es 42.9688
valor187 es 74.2188
valor188 es 62.5
valor189 es 27.3438
valor190 es 78.125
valor191 es 15.625
valor192 es 62.5
valor193 es 31.25
valor194 es 58.5938
valor195 es 66.4062
valor196 es 66.4062
valor197 es 46.875
valor198 es 46.875
valor199 es 62.5
valor200 es 46.875
valor201 es 46.875
valor202 es 42.9688
valor203 es 42.9688
valor204 es 46.875
valor205 es 62.5
valor206 es 62.5
valor207 es 66.4062
valor208 es 42.9688
valor209 es 58.5938
valor210 es 74.2188
valor211 es 62.5
valor212 es 50.7812
valor213 es 31.25
valor214 es 42.9688
valor215 es 62.5
valor216 es 50.7812
valor217 es 50.7812
valor218 es 42.9688
valor219 es 42.9688
valor220 es 39.0625
valor221 es 62.5
valor222 es 62.5
valor223 es 82.0312
valor224 es 523.438
valor225 es 507.812
valor226 es 519.531
valor227 es 500
valor228 es 511.719
valor229 es 503.906
valor230 es 500
valor231 es 503.906
valor232 es 476.562
valor233 es 488.281
valor234 es 492.188
valor235 es 507.812
valor236 es 511.719
valor237 es 503.906
valor238 es 507.812
valor239 es 500
valor240 es 488.281
valor241 es 464.844
valor242 es 476.562
valor243 es 500
valor244 es 500
valor245 es 531.25
valor246 es 500
valor247 es 496.094
valor248 es 507.812
valor249 es 488.281
valor250 es 484.375
valor251 es 468.75
valor252 es 511.719
valor253 es 480.469
valor254 es 492.188
valor255 es 484.375
valor256 es 496.094
valor257 es 492.188
valor258 es 500
valor259 es 500
valor260 es 492.188
valor261 es 460.938
valor262 es 492.188
valor263 es 464.844
valor264 es 484.375
valor265 es 460.938
valor266 es 484.375
valor267 es 484.375
valor268 es 464.844
valor269 es 480.469
valor270 es 468.75
valor271 es 460.938
valor272 es 500
valor273 es 488.281
valor274 es 468.75
valor275 es 480.469
valor276 es 500
valor277 es 484.375
valor278 es 468.75
valor279 es 500
valor280 es 468.75
valor281 es 480.469
valor282 es 453.125
valor283 es 500
valor284 es 468.75
valor285 es 503.906
valor286 es 507.812
valor287 es 515.625
valor288 es 542.969
valor289 es 527.344
valor290 es 500
valor291 es 488.281
valor292 es 500
valor293 es 515.625
valor294 es 484.375
valor295 es 511.719
valor296 es 480.469
valor297 es 476.562
valor298 es 488.281
valor299 es 457.031
valor300 es 449.219
valor301 es 472.656
valor302 es 492.188
valor303 es 492.188
